assessment_item,classification,execute_in_phase_6,notes
L2CU weight documentation,RECOMMENDED FOR PUBLICATION,0,Needs assessment only; not executed.
alternative standard-error methods,RECOMMENDED FOR PUBLICATION,0,Needs assessment only; not executed.
wild-cluster bootstrap,RECOMMENDED FOR PUBLICATION,0,Needs assessment only; not executed.
random-effects comparison,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
lagged-remittance models,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
lagged-shock models,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
attrition sensitivity,RECOMMENDED FOR PUBLICATION,0,Needs assessment only; not executed.
inverse probability weighting,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
multiple imputation,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
additional climate-data linkage,NOT FEASIBLE,0,Needs assessment only; not executed.
alternative FIES scoring,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
survey-design corrections,RECOMMENDED FOR PUBLICATION,0,Needs assessment only; not executed.
external validation,OPTIONAL EXTENSION,0,Needs assessment only; not executed.
