country,analytical_dataset,target_variable,variable_role,source_file,source_variables,observation_level,universe,reference_period,source_coding,target_coding,missing_codes,structural_skip_rule,transformation,direction,selected_primary,selected_sensitivity,verification_source,notes
Kyrgyzstan,lik_2019_adult_analysis,lik_remittance_receipt,treatment,Household/hh6b.dta; Household/hh6a.dta,h620; h600; h601,adult respondent with household merge,LiK 2019 adults linked to household,last 12 months,"h620 1 Yes, 2 No; Module 6A migrant counts","1 recipient, 0 non-recipient, missing unresolved",blank/system missing,Only structural zero when Module 6A verifies no eligible migrant,binary with provenance source,1=receipt,1,0,Revised Phase 2 registry; household questionnaire pp. 15-17,
Kyrgyzstan,lik_2019_adult_analysis,lik_any_shock,exposure,Household/hh7.dta,shock; h701,household,all LiK households,last 12 months,h701 1 affected,"1 any shock, 0 no event record",event roster structural absence,No event rows imply no listed shock after merge to household master,aggregate event roster,1=shock exposure,1,0,LiK household questionnaire p. 18,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_raw_score,outcome,Individual/id2.dta,i251_1; i251_2; i251_3; i251_4; i251_5; i251_6; i251_7; i251_8,adult respondent,adult individual module respondents,last 12 months,1 many times; 2 one/two times; 3 never; 88 refusal; 99 DK,0-8 only when complete,"88, 99, blanks, undocumented values",none,sum affirmative items only when all 8 valid,higher=worse food insecurity,1,0,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_household_sensitivity,lik_hh_mean_adult_raw_score,sensitivity outcome,constructed adult dataset,lik_fies_raw_score,household,households with adult FIES records,last 12 months,adult complete raw scores,mean among complete adult scores,missing if no complete adult,none,household aggregation; not primary,higher=worse food insecurity,0,1,Phase 3 aggregation rule,Sensitivity only.
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_1,outcome item,Individual/id2.dta,i251_1,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_2,outcome item,Individual/id2.dta,i251_2,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_3,outcome item,Individual/id2.dta,i251_3,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_4,outcome item,Individual/id2.dta,i251_4,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_5,outcome item,Individual/id2.dta,i251_5,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
Kyrgyzstan,lik_2019_adult_analysis,lik_fies_item_6,outcome item,Individual/id2.dta,i251_6,adult respondent,adult individual module respondents,last 12 months,"1,2 affirmative; 3 never; 88 refusal; 99 DK","1 affirmative, 0 negative","88,99,blank,other",none,recode item,1=worse,0,1,LiK individual questionnaire p. 6,
