source_shock_code,source_label,target_category,included_in_any_shock,included_in_economic_shock,included_in_employment_shock,included_in_health_shock,included_in_agricultural_shock,included_in_climate_shock,included_in_remittance_loss_shock,reason,verification_source
1,Drought,climate; agricultural,1,0,0,0,1,1,0,Questionnaire labels drought as natural shock affecting agriculture.,"LiK household questionnaire Module 7, page 18"
2,Too much rain or flood,climate; agricultural,1,0,0,0,1,1,0,Flood/rain natural shock can affect agriculture.,"LiK household questionnaire Module 7, page 18"
3,Very cold winter,climate,1,0,0,0,0,1,0,Weather shock.,"LiK household questionnaire Module 7, page 18"
4,Frosts,climate; agricultural,1,0,0,0,1,1,0,Weather and crop shock.,"LiK household questionnaire Module 7, page 18"
5,Landslides,climate,1,0,0,0,0,1,0,Natural shock.,"LiK household questionnaire Module 7, page 18"
6,Pest or diseases (crops or livestock),agricultural,1,0,0,0,1,0,0,Crop/livestock shock.,"LiK household questionnaire Module 7, page 18"
7,Fire,other,1,0,0,0,0,0,0,"Listed household shock, not assigned to requested subcategories.","LiK household questionnaire Module 7, page 18"
8,Insufficient water supply for farming or gardening,agricultural; climate,1,0,0,0,1,1,0,Farming/gardening water shock.,"LiK household questionnaire Module 7, page 18"
9,Political instability,other,1,0,0,0,0,0,0,Listed social shock.,"LiK household questionnaire Module 7, page 18"
10,"Theft of assets (cash, crops, livestock)",economic,1,1,0,0,0,0,0,Asset theft is economic loss.,"LiK household questionnaire Module 7, page 18"
11,Inability to sell agricultural and other products,economic; agricultural,1,1,0,0,1,0,0,Market shock for products.,"LiK household questionnaire Module 7, page 18"
12,Loss of job,employment; economic,1,1,1,0,0,0,0,Direct employment shock.,"LiK household questionnaire Module 7, page 18"
13,Sharp fall of remittances from abroad,remittance loss; economic,1,1,0,0,0,0,1,Direct remittance-loss shock.,"LiK household questionnaire Module 7, page 18"
14,Death of a major breadwinner,health/family,1,0,0,1,0,0,0,Death/health-family shock.,"LiK household questionnaire Module 7, page 18"
15,Death of another HH member,health/family,1,0,0,1,0,0,0,Death/health-family shock.,"LiK household questionnaire Module 7, page 18"
16,"Death of close relative, non-member of HH",health/family,1,0,0,1,0,0,0,Death/health-family shock.,"LiK household questionnaire Module 7, page 18"
17,Illness of a major breadwinner,health,1,0,0,1,0,0,0,Illness shock.,"LiK household questionnaire Module 7, page 18"
18,Illness of another HH member,health,1,0,0,1,0,0,0,Illness shock.,"LiK household questionnaire Module 7, page 18"
19,Divorce,other,1,0,0,0,0,0,0,Family/social shock.,"LiK household questionnaire Module 7, page 18"
20,Disputes on land issues,other,1,0,0,0,0,0,0,Listed household shock.,"LiK household questionnaire Module 7, page 18"
21,Accident,health,1,0,0,1,0,0,0,Accident/health shock.,"LiK household questionnaire Module 7, page 18"
22,Insufficient energy supply,other,1,0,0,0,0,0,0,Infrastructure shock.,"LiK household questionnaire Module 7, page 18"
23,Increased violence in the neighbourhood,other,1,0,0,0,0,0,0,Community safety shock.,"LiK household questionnaire Module 7, page 18"
24,Border closure for the movement of people and goods,economic,1,1,0,0,0,0,0,Movement/goods closure can affect income/markets.,"LiK household questionnaire Module 7, page 18"
25,Forced relocation,other,1,0,0,0,0,0,0,Displacement shock.,"LiK household questionnaire Module 7, page 18"
