country,dataset,dataset_role,concept,status,source_file,observation_level,raw_variable_names,exact_question_wording_or_label,recall_period,wave_or_round_coverage,coding,missing_codes_or_structural_missing,aggregate_verification,later_transformation_plan,comparability_notes,evidence_source
kyrgyzstan,LiK 2019,main panel and household analysis,household identifier,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta; repeated across modules,household,hhid,HH code in 2019 / Household code,not applicable,"2019, panel wave 6",numeric identifier,no documented special missing code,hhid: 2316 valid/2316 nonmissing; hhid: 13432 valid/13432 nonmissing; hhid: 23022 valid/23022 nonmissing; hhid: 3049 valid/3049 nonmissing; hhid: 529 valid/529 nonmissing; hhid: 772 valid/772 nonmissing; hhid: 7043 valid/7043 nonmissing,retain as country-specific key; never pool with L2CU hhid,identifier is survey-specific,"data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/LiK19_Study_Description.pdf pp. 1, 7"
kyrgyzstan,LiK 2019,main panel and household analysis,"time, wave or round",VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta,household,int_date; constant wave=2019,"Interview date; Life in Kyrgyzstan Study 2019, Panel Wave 6",interview dates Nov 2019-Feb 2020,"2019, panel wave 6",date plus documented wave constant,no special missing code documented,int_date: 2316 valid/2316 nonmissing,attach documented 2019 wave constant only in later construction,not contemporaneous with all L2CU rounds,"data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/LiK19_Study_Description.pdf pp. 1, 4; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta"
kyrgyzstan,LiK 2019,main panel and household analysis,remittance receipt,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta,household,h620,"During the last 12 months, did you receive any money from abroad sent by migrants who are members of this household?",last 12 months,2019,1 Yes; 2 No,"blank/system missing; Module 6A routes households with no adult member abroad to Module 7, so later construction must distinguish structural non-migrant households from observed h620=2",h620: 529 valid/529 nonmissing,binary receipt indicator in later construction; define structural non-migrant households only after merging hh6a/hh0 eligibility,12-month recall and member-migrant universe versus L2CU past-month two-channel measures,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf pp. 15-17; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta
kyrgyzstan,LiK 2019,main panel and household analysis,remittance amount,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta,household,h622; h623,Total money sent during the last 12 months; currency,last 12 months,2019,"h622 amount >0; h623 1 Som, 2 US dollar",structural missing when h620=2 and for households skipped out of Module 6A; no h622 special code documented,h622: 406 valid/406 nonmissing; h623: 406 valid/406 nonmissing,currency conversion and annualization rules to be specified before construction,"currency, recall, and module universe differ from L2CU",data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf pp. 15-17; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh6b.dta
kyrgyzstan,LiK 2019,main panel and household analysis,household shock exposure,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,household-shock event roster,shock; h701; h702; h703; h704,"Extreme natural, infrastructural, social, family or personal shock occurred in household",last 12 months,2019,"shock 1-25; h701 1 Yes, 2 No; severity 1 High-4 No impact",h703/h704 code 998 Don't know/not calculated; structural missing when not affected,shock: 772 valid/772 nonmissing; h701: 772 valid/772 nonmissing; h702: 772 valid/772 nonmissing; h703: 543 valid/543 nonmissing; h704: 543 valid/543 nonmissing,aggregate verified event rows to household only in later construction,broader event roster than L2CU,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf p. 18; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta
kyrgyzstan,LiK 2019,main panel and household analysis,economic shock,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,household-shock event roster,shock; h701,Inability to sell agricultural/other products; loss of job; sharp fall of remittances,last 12 months,2019,"shock codes 11, 12, 13 with h701=1",as for shock roster,shock: 772 valid/772 nonmissing; h701: 772 valid/772 nonmissing,pre-specify economic-shock category; no construction in Phase 2,L2CU verifies job loss but no equivalent broad economic-event roster,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf p. 18; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta
kyrgyzstan,LiK 2019,main panel and household analysis,employment or income shock,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,household-shock event roster,shock; h701; h704,Loss of job; estimated loss of income due to shock,last 12 months,2019,shock=12 and h701=1; h704 Som,h704=998 Don't know/not calculated,shock: 772 valid/772 nonmissing; h701: 772 valid/772 nonmissing; h704: 543 valid/543 nonmissing,binary loss-of-job shock; amount as secondary severity measure,L2CU job-loss question has past-month recall,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf p. 18; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta
kyrgyzstan,LiK 2019,main panel and household analysis,health shock,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,household-shock event roster,shock; h701,Death or illness of breadwinner/household member/close relative; accident,last 12 months,2019,shock codes 14-18 and 21 with h701=1,as for shock roster,shock: 772 valid/772 nonmissing; h701: 772 valid/772 nonmissing,binary health/family shock category,"L2CU major-change item includes injury, illness, death",data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf p. 18; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta
kyrgyzstan,LiK 2019,main panel and household analysis,agricultural or climate shock,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta,household-shock event roster,shock; h701,"Drought, flood, cold winter, frost, landslide, crop/livestock pests or disease, insufficient farm water, inability to sell products",last 12 months,2019,"shock codes 1-6, 8, 11 with h701=1",as for shock roster,shock: 772 valid/772 nonmissing; h701: 772 valid/772 nonmissing,separate climate/natural and agricultural-market subcategories,no verified L2CU agricultural/climate shock item,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/2.Household_form_Eng_LiK19.pdf p. 18; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh7.dta
kyrgyzstan,LiK 2019,main panel and household analysis,food-insecurity outcome,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta,adult individual,i251_1-i251_8,"Eight food-insecurity experience items covering worry, diet quality/variety, meal skipping, eating less, running out, hunger, and whole-day fasting",last 12 months,2019 only,1 Yes many times; 2 Yes 1-2 times; 3 No never; 88 Refuse; 99 Don't know,88 refusal; 99 don't know; system missing,i251_1: 6580 valid/7043 nonmissing; i251_2: 6560 valid/7043 nonmissing; i251_3: 6549 valid/7043 nonmissing; i251_4: 6545 valid/7043 nonmissing; i251_5: 6545 valid/7043 nonmissing; i251_6: 6550 valid/7043 nonmissing; i251_7: 6513 valid/7043 nonmissing; i251_8: 6511 valid/7043 nonmissing,adult-level 0-8 affirmative count is primary candidate; household aggregation requires an explicit later rule,"LiK is adult-reported, 12-month, frequency-coded; L2CU is household CATI, 30-day, yes/no",data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Questionnaires/Eng/4.Individual_form_Eng_LiK19.pdf p. 6; data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Individual/id2.dta
kyrgyzstan,LiK 2019,main panel and household analysis,household size,VERIFIED - DERIVED LATER,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh1a.dta,household-member roster,hhid; pid,Household roster member identifiers,current roster,2019,count distinct pid within hhid,review duplicate/missing pid before derivation,pid: 13432 valid/13432 nonmissing; pid: 7043 valid/7043 nonmissing,derive roster count only in analytical construction phase,L2CU supplies hhsize directly,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh1a.dta
kyrgyzstan,LiK 2019,main panel and household analysis,rural or urban residence,VERIFIED,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta,household,residence,Type of population point,current,2019,1 City; 2 Village,no special missing code documented,residence: 2310 valid/2310 nonmissing,binary residence control,not available in supplied L2CU CSVs,data/interim/unpacked/kyrgyzstan/dataverse_files/depth_02/LiK_2022__7c67a235/Version_2022/Household/hh0.dta
