country,model_id,model_family,analysis_unit,outcome,outcome_direction,remittance_variable,shock_variable,interaction,controls,fixed_effects,cluster_variable,weight,sample_definition,missing_data_rule,primary_or_robustness,hypothesis,expected_interpretation,multiple_testing_family,notes
Kyrgyzstan,KG_M0,OLS,adult respondent,lik_fies_raw_score,higher=worse,lik_remittance_receipt,lik_any_shock,rem_x_shock,,none,lik_household_analysis_key,none,complete outcome/remittance/shock/cluster,complete case,primary,beta_3 < 0 consistent with buffering pattern,interaction association,primary,unadjusted
Kyrgyzstan,KG_M1,OLS,adult respondent,lik_fies_raw_score,higher=worse,lik_remittance_receipt,lik_any_shock,rem_x_shock,h103a age; h102 sex; h104 verified demographic category; lik_household_size; kg_child_present,none,lik_household_analysis_key,none,complete model variables,complete case,primary,beta_3 < 0 consistent with buffering pattern,interaction association,primary,demographic
Kyrgyzstan,KG_M2,OLS,adult respondent,lik_fies_raw_score,higher=worse,lik_remittance_receipt,lik_any_shock,rem_x_shock,M1 plus residence,oblast fixed effects,lik_household_analysis_key,none,complete model variables,complete case,preferred,beta_3 < 0 consistent with buffering pattern,interaction association,primary,preferred adjusted
Kyrgyzstan,KG_M3,OLS,adult respondent,lik_fies_raw_score,higher=worse,lik_remittance_receipt,lik_any_shock,rem_x_shock,M2 plus lik_migrant_household and i218 verified category,oblast fixed effects,lik_household_analysis_key,none,complete model variables,complete case,robustness,post-treatment risk noted,interaction association,extended,possible post-treatment/selection control
Uzbekistan,UZ_M0,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_work_loss_shock,rem_x_shock,,none,uzb_household_analysis_key,none,complete outcome/remittance/shock/cluster,complete case,secondary event-specific exploratory,beta_3 < 0 consistent with buffering pattern,interaction association,primary,unweighted
Uzbekistan,UZ_M1,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_work_loss_shock,rem_x_shock,hhsize; l2cu_roster_member_count; uz_child_present,none,uzb_household_analysis_key,none,complete model variables,complete case,secondary event-specific exploratory,beta_3 < 0 consistent with buffering pattern,interaction association,primary,head controls unavailable in processed file
Uzbekistan,UZ_M2,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_work_loss_shock,rem_x_shock,UZ_M1 controls,round fixed effects,uzb_household_analysis_key,none,complete model variables,complete case,secondary event-specific exploratory,beta_3 < 0 consistent with buffering pattern,interaction association,primary,L2CU popw not used
Uzbekistan,UZ_M3,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_work_loss_shock,rem_x_shock,UZ_M2 plus income amount proxies,round fixed effects,uzb_household_analysis_key,none,complete model variables,complete case,secondary event-specific exploratory,post-treatment risk noted,interaction association,extended,possible post-treatment controls
Uzbekistan,UZBROAD_M0,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_any_verified_shock,rem_x_shock,,none,uzb_household_analysis_key,none,complete outcome/remittance/broad shock/cluster,complete case,candidate primary,beta_3 < 0 consistent with buffering pattern,observational interaction association,revised primary,work-loss model preserved as secondary exploratory
Uzbekistan,UZBROAD_M1,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_any_verified_shock,rem_x_shock,verified household size/composition; head controls unavailable in processed file,none,uzb_household_analysis_key,none,complete model variables,complete case,candidate primary,beta_3 < 0 consistent with buffering pattern,observational interaction association,revised primary,unweighted
Uzbekistan,UZBROAD_M2,OLS,household-round,uzb_fies_raw_score,higher=worse,uzb_any_remittance,uzb_any_verified_shock,rem_x_shock,UZBROAD_M1 controls,round fixed effects,uzb_household_analysis_key,none,complete model variables,complete case,PRIMARY APPROVED WITH LIMITATIONS,beta_3 < 0 consistent with buffering pattern,observational interaction association,revised primary,candidate preferred broad-shock model
